V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Class
-0.479323730804026,-0.129324936307967,0.223758202511817,0.538818957749754,0.356809010263532,-0.433305505663157,0.586482874117792,0.359036817681044,0.38391473563388,0.230177905410528,X1
0.0134408413432539,0.720307197421789,-0.832924127113074,-0.507221324834973,-0.107459679245949,-0.865921578370035,0.223892394453287,-0.955910818185657,0.859424567781389,0.392460798379034,X2
0.966117265634239,0.503882322926074,0.15440184995532,-0.363382184877992,0.221869015134871,0.0830910014919937,-0.630885168910027,-0.187586131040007,-0.474766743835062,0.660125745926052,X1
0.043613453861326,0.663168207276613,-0.0823841053061187,0.358385934028774,-0.54479103628546,-0.954414737410843,-0.505058757960796,-0.587059318087995,-0.2679298305884,0.0981948445551097,X1
-0.558168199378997,-0.144756230060011,0.551432220730931,0.889257038012147,0.624785683583468,0.948700639884919,-0.362909552175552,0.334198163822293,-0.136315628420562,0.229894022457302,X2
-0.957292589824647,0.686222076416016,0.337433026637882,-0.796290411613882,-0.472027986310422,-0.730263709556311,-0.218939359299839,0.774249676149338,-0.211318457964808,0.494221583474427,X2
0.650145603809506,-0.558289978653193,-0.968272899277508,0.751697154715657,-0.735842323862016,0.527103370055556,-0.728789125103503,0.558817002922297,0.0488750878721476,0.708070598077029,X2
0.25328169669956,0.00219122553244233,-0.75615986995399,0.474758706986904,-0.0884287906810641,0.42293798411265,0.419146702159196,-0.302015554625541,-0.210269634611905,-0.422355706337839,X1
-0.747967601753771,0.435219135135412,0.819371578283608,0.729418989270926,-0.890485339332372,-0.917707703076303,0.278471651021391,0.504823841154575,-0.37145913252607,-0.640087168198079,X2
-0.112274987157434,-0.559654472861439,-0.357787631452084,-0.235030502080917,0.834921989124268,0.7525515826419,0.976819493807852,0.496428600978106,0.590633384417742,0.330744111910462,X2
0.223399742040783,0.136558727826923,0.800552278291434,-0.600562334060669,0.426129714120179,0.412825156468898,0.128127921372652,-0.484472523443401,-0.590394287835807,-0.390160537324846,X1
-0.721360763534904,0.378249357454479,0.946817085146904,0.798858777154237,-0.587564191780984,0.819961253087968,-0.625274572987109,-0.96974920341745,-0.471994996536523,0.118024062365294,X2
-0.284410926513374,-0.226071932353079,0.424356240779161,-0.623981743585318,0.301560014951974,0.885425518266857,-0.14622792089358,0.356067096814513,-0.913466969970614,-0.0731634008698165,X1
-0.818477992434055,0.889021709561348,-0.270090736914426,0.671356660779566,0.30857766745612,0.23365786485374,-0.528072813525796,-0.690478523727506,-0.676784587558359,-0.37843615654856,X2
0.414725870359689,-0.71368901245296,0.323008340317756,0.972192915156484,0.403986455406994,0.760159928817302,0.814102124422789,-0.191076412331313,0.160527206026018,-0.473648041952401,X2
-0.867457589134574,-0.171728900168091,-0.362757576629519,0.685385170392692,-0.484492059331387,0.919523189309984,-0.367211166769266,-0.470924865454435,-0.49013192858547,-0.821004832163453,X2
-0.804871362168342,0.710947836749256,0.0896499510854483,-0.793714047409594,0.892846553120762,-0.0427888622507453,-0.517559362575412,0.298439069185406,-0.604092094115913,0.904157171957195,X2
0.655902200844139,-0.134862077888101,-0.676149365026504,-0.469567765016109,0.0953545621596277,0.625865665264428,-0.385636048391461,-0.285150717478245,-0.113290787208825,-0.0645352648571134,X1
0.240150894038379,-0.924760403577238,0.946880022529513,0.396678519435227,-0.278927894309163,0.69568238267675,-0.610079559031874,-0.335421185474843,-0.412334714084864,0.303497479297221,X2
-0.711777030956,0.993090054485947,-0.695031876675785,0.467147543560714,0.965714660007507,-0.244610745459795,-0.00364908715710044,-0.278750001918525,-0.761073439847678,0.800471379887313,X2
-0.9268954009749,-0.478904641233385,0.788446350488812,0.153607212007046,0.294807002414018,0.242181227076799,0.908364131115377,-0.0647536898031831,0.0331237772479653,-0.799062191043049,X2
0.918067201972008,0.460761588532478,-0.457159418147057,-0.899388457648456,0.077719640918076,-0.621050098445266,-0.174482821952552,-0.942864412907511,-0.718083701562136,-0.630517547484487,X2
-0.978781323879957,0.377482748124748,-0.165810308884829,-0.511804850772023,-0.497569329570979,-0.644903149455786,-0.974992326460779,-0.404913215432316,-0.505429970100522,0.421834436710924,X2
